lat_grid,lon_grid,hour,day_of_week,count_trips
51.076,71.41,9,3,1
51.076,71.41,13,0,1
51.076,71.41,18,3,2
51.076,71.41,19,4,1
51.076,71.41,19,6,1
51.076,71.411,0,0,1
51.076,71.411,0,1,1
51.076,71.411,0,4,1
51.076,71.411,2,1,1
51.076,71.411,3,4,1
51.076,71.411,5,4,1
51.076,71.411,9,1,1
51.076,71.411,9,2,1
51.076,71.411,9,3,1
51.076,71.411,11,4,1
51.076,71.411,12,4,1
51.076,71.411,12,6,1
51.076,71.411,13,1,1
51.076,71.411,15,5,2
51.076,71.411,16,2,1
51.076,71.411,17,4,1
51.076,71.411,18,4,1
51.076,71.411,19,4,1
51.076,71.411,19,6,2
51.076,71.411,20,0,1
51.076,71.411,20,3,1
51.076,71.411,21,3,1
51.076,71.411,21,6,1
51.076,71.411,23,0,3
51.076,71.411,23,3,1
51.076,71.411,23,5,1
51.076,71.412,11,1,1
51.076,71.413,6,6,1
51.076,71.414,4,3,1
51.076,71.414,5,0,1
51.076,71.414,6,6,1
51.076,71.414,8,0,1
51.076,71.414,9,0,1
51.076,71.414,9,4,1
51.076,71.414,13,4,1
51.076,71.414,14,2,1
51.076,71.414,15,2,2
51.076,71.414,16,1,1
51.076,71.414,16,6,2
51.076,71.414,22,3,1
51.076,71.414,23,3,2
51.076,71.415,0,0,1
51.076,71.415,0,2,4
51.076,71.415,0,3,8
51.076,71.415,0,4,5
51.076,71.415,0,5,1
51.076,71.415,0,6,3
51.076,71.415,1,0,3
51.076,71.415,1,1,5
51.076,71.415,1,3,5
51.076,71.415,1,4,4
51.076,71.415,1,5,1
51.076,71.415,1,6,4
51.076,71.415,2,0,7
51.076,71.415,2,1,2
51.076,71.415,2,2,4
51.076,71.415,2,3,1
51.076,71.415,2,4,3
51.076,71.415,2,5,1
51.076,71.415,2,6,4
51.076,71.415,3,0,2
51.076,71.415,3,1,8
51.076,71.415,3,2,6
51.076,71.415,3,4,1
51.076,71.415,3,5,3
51.076,71.415,3,6,4
51.076,71.415,4,0,1
51.076,71.415,4,1,4
51.076,71.415,4,2,4
51.076,71.415,4,3,3
51.076,71.415,4,4,5
51.076,71.415,4,6,4
51.076,71.415,5,0,3
51.076,71.415,5,2,3
51.076,71.415,5,3,3
51.076,71.415,5,4,2
51.076,71.415,5,5,4
51.076,71.415,5,6,3
51.076,71.415,6,0,7
51.076,71.415,6,1,3
51.076,71.415,6,2,3
51.076,71.415,6,3,2
51.076,71.415,6,4,4
51.076,71.415,6,5,1
51.076,71.415,6,6,6
51.076,71.415,7,0,3
51.076,71.415,7,1,3
51.076,71.415,7,2,1
51.076,71.415,7,3,5
51.076,71.415,7,4,6
51.076,71.415,7,5,9
51.076,71.415,7,6,2
51.076,71.415,8,0,5
51.076,71.415,8,1,2
51.076,71.415,8,3,1
51.076,71.415,8,4,3
51.076,71.415,8,5,3
51.076,71.415,8,6,4
51.076,71.415,9,0,6
51.076,71.415,9,1,2
51.076,71.415,9,2,2
51.076,71.415,9,3,3
51.076,71.415,9,4,6
51.076,71.415,9,5,3
51.076,71.415,9,6,3
51.076,71.415,10,0,4
51.076,71.415,10,1,3
51.076,71.415,10,2,2
51.076,71.415,10,3,6
51.076,71.415,10,4,3
51.076,71.415,10,5,3
51.076,71.415,10,6,8
51.076,71.415,11,0,2
51.076,71.415,11,1,2
51.076,71.415,11,2,1
51.076,71.415,11,3,2
51.076,71.415,11,4,4
51.076,71.415,11,5,4
51.076,71.415,11,6,1
51.076,71.415,12,0,5
51.076,71.415,12,1,2
51.076,71.415,12,2,5
51.076,71.415,12,3,5
51.076,71.415,12,4,3
51.076,71.415,12,5,3
51.076,71.415,12,6,6
51.076,71.415,13,0,7
51.076,71.415,13,1,4
51.076,71.415,13,2,6
51.076,71.415,13,3,2
51.076,71.415,13,4,1
51.076,71.415,13,5,1
51.076,71.415,13,6,4
51.076,71.415,14,0,5
51.076,71.415,14,1,7
51.076,71.415,14,2,1
51.076,71.415,14,3,2
51.076,71.415,14,4,1
51.076,71.415,14,5,5
51.076,71.415,14,6,3
51.076,71.415,15,0,1
51.076,71.415,15,1,1
51.076,71.415,15,2,4
51.076,71.415,15,3,5
51.076,71.415,15,5,4
51.076,71.415,15,6,3
51.076,71.415,16,1,5
51.076,71.415,16,2,4
51.076,71.415,16,3,1
51.076,71.415,16,4,1
51.076,71.415,16,5,1
51.076,71.415,16,6,6
51.076,71.415,17,0,1
51.076,71.415,17,2,1
51.076,71.415,17,3,2
51.076,71.415,17,4,2
51.076,71.415,17,5,3
51.076,71.415,17,6,6
51.076,71.415,18,0,1
51.076,71.415,18,2,6
51.076,71.415,18,3,2
51.076,71.415,18,4,7
51.076,71.415,18,5,6
51.076,71.415,18,6,3
51.076,71.415,19,0,1
51.076,71.415,19,1,1
51.076,71.415,19,3,1
51.076,71.415,19,4,5
51.076,71.415,19,5,9
51.076,71.415,19,6,6
51.076,71.415,20,0,1
51.076,71.415,20,1,3
51.076,71.415,20,2,1
51.076,71.415,20,3,8
51.076,71.415,20,4,3
51.076,71.415,20,5,6
51.076,71.415,20,6,1
51.076,71.415,21,0,1
51.076,71.415,21,2,2
51.076,71.415,21,3,2
51.076,71.415,21,4,5
51.076,71.415,21,5,3
51.076,71.415,21,6,2
51.076,71.415,22,0,2
51.076,71.415,22,1,9
51.076,71.415,22,2,2
51.076,71.415,22,3,1
51.076,71.415,22,4,4
51.076,71.415,22,5,2
51.076,71.415,22,6,3
51.076,71.415,23,0,2
51.076,71.415,23,2,5
51.076,71.415,23,3,2
51.076,71.415,23,4,1
51.076,71.415,23,5,2
51.076,71.415,23,6,4
51.076,71.416,0,3,1
51.076,71.416,0,4,1
51.076,71.416,0,5,1
51.076,71.416,1,0,1
51.076,71.416,1,2,1
51.076,71.416,1,6,1
51.076,71.416,2,2,2
51.076,71.416,2,6,1
51.076,71.416,3,1,1
51.076,71.416,3,2,1
51.076,71.416,3,3,1
51.076,71.416,3,4,2
51.076,71.416,4,3,1
51.076,71.416,4,4,1
51.076,71.416,5,1,2
51.076,71.416,5,3,2
51.076,71.416,5,4,3
51.076,71.416,5,6,2
51.076,71.416,6,0,3
51.076,71.416,6,1,2
51.076,71.416,6,2,1
51.076,71.416,6,5,2
51.076,71.416,6,6,1
51.076,71.416,7,2,1
51.076,71.416,7,3,2
51.076,71.416,7,4,1
51.076,71.416,7,5,1
51.076,71.416,7,6,3
51.076,71.416,8,1,1
51.076,71.416,8,3,1
51.076,71.416,9,0,1
51.076,71.416,9,1,1
51.076,71.416,9,5,1
51.076,71.416,9,6,1
51.076,71.416,11,1,1
51.076,71.416,11,5,2
51.076,71.416,12,5,2
51.076,71.416,12,6,1
51.076,71.416,13,0,1
51.076,71.416,13,1,1
51.076,71.416,14,2,1
51.076,71.416,14,5,1
51.076,71.416,15,0,1
51.076,71.416,15,1,2
51.076,71.416,15,5,1
51.076,71.416,15,6,1
51.076,71.416,16,1,1
51.076,71.416,17,2,1
51.076,71.416,17,3,1
51.076,71.416,17,6,1
51.076,71.416,19,4,1
51.076,71.416,20,0,1
51.076,71.416,20,6,2
51.076,71.416,21,0,1
51.076,71.416,21,4,1
51.076,71.416,22,0,1
51.076,71.416,22,1,1
51.076,71.416,22,4,1
51.076,71.416,22,5,1
51.076,71.416,22,6,1
51.076,71.416,23,1,1
51.076,71.416,23,3,2
51.076,71.417,6,5,1
51.076,71.417,11,1,1
51.076,71.419,0,2,2
51.076,71.419,0,3,2
51.076,71.419,0,5,1
51.076,71.419,0,6,3
51.076,71.419,1,0,1
51.076,71.419,1,4,1
51.076,71.419,1,6,1
51.076,71.419,2,0,1
51.076,71.419,2,1,1
51.076,71.419,2,2,1
51.076,71.419,2,6,2
51.076,71.419,3,0,1
51.076,71.419,3,2,1
51.076,71.419,3,3,1
51.076,71.419,3,6,3
51.076,71.419,4,4,2
51.076,71.419,4,5,2
51.076,71.419,5,1,1
51.076,71.419,5,4,1
51.076,71.419,5,6,1
51.076,71.419,6,3,2
51.076,71.419,6,5,1
51.076,71.419,6,6,1
51.076,71.419,7,5,1
51.076,71.419,8,4,1
51.076,71.419,8,6,1
51.076,71.419,9,3,1
51.076,71.419,9,4,1
51.076,71.419,9,5,1
51.076,71.419,9,6,1
51.076,71.419,10,0,3
51.076,71.419,10,1,1
51.076,71.419,10,3,1
51.076,71.419,10,4,1
51.076,71.419,11,1,1
51.076,71.419,11,2,2
51.076,71.419,11,6,2
51.076,71.419,12,0,2
51.076,71.419,12,1,1
51.076,71.419,12,2,1
51.076,71.419,12,3,3
51.076,71.419,12,4,1
51.076,71.419,12,6,1
51.076,71.419,13,2,2
51.076,71.419,13,3,1
51.076,71.419,13,4,1
51.076,71.419,13,6,4
51.076,71.419,14,2,1
51.076,71.419,15,2,1
51.076,71.419,15,4,1
51.076,71.419,15,6,1
51.076,71.419,16,1,1
51.076,71.419,16,4,1
51.076,71.419,16,6,1
51.076,71.419,17,0,1
51.076,71.419,17,6,1
51.076,71.419,18,0,1
51.076,71.419,18,4,1
51.076,71.419,18,6,1
51.076,71.419,19,1,1
51.076,71.419,19,4,1
51.076,71.419,19,5,1
51.076,71.419,20,1,2
51.076,71.419,20,4,1
51.076,71.419,20,5,2
51.076,71.419,21,4,1
51.076,71.419,21,6,1
51.076,71.419,22,5,1
51.076,71.419,23,1,2
51.076,71.419,23,2,2
51.076,71.419,23,3,4
51.076,71.42,0,0,11
51.076,71.42,0,1,17
51.076,71.42,0,2,17
51.076,71.42,0,3,17
51.076,71.42,0,4,14
51.076,71.42,0,5,21
51.076,71.42,0,6,15
51.076,71.42,1,0,24
51.076,71.42,1,1,22
51.076,71.42,1,2,20
51.076,71.42,1,3,20
51.076,71.42,1,4,18
51.076,71.42,1,5,12
51.076,71.42,1,6,20
51.076,71.42,2,0,11
51.076,71.42,2,1,17
51.076,71.42,2,2,14
51.076,71.42,2,3,13
51.076,71.42,2,4,21
51.076,71.42,2,5,16
51.076,71.42,2,6,31
51.076,71.42,3,0,25
51.076,71.42,3,1,21
51.076,71.42,3,2,18
51.076,71.42,3,3,17
51.076,71.42,3,4,11
51.076,71.42,3,5,18
51.076,71.42,3,6,26
51.076,71.42,4,0,14
51.076,71.42,4,1,14
51.076,71.42,4,2,11
51.076,71.42,4,3,17
51.076,71.42,4,4,18
51.076,71.42,4,5,16
51.076,71.42,4,6,10
51.076,71.42,5,0,19
51.076,71.42,5,1,26
51.076,71.42,5,2,20
51.076,71.42,5,3,22
51.076,71.42,5,4,20
51.076,71.42,5,5,13
51.076,71.42,5,6,14
51.076,71.42,6,0,19
51.076,71.42,6,1,20
51.076,71.42,6,2,28
51.076,71.42,6,3,15
51.076,71.42,6,4,19
51.076,71.42,6,5,14
51.076,71.42,6,6,13
51.076,71.42,7,0,14
51.076,71.42,7,1,16
51.076,71.42,7,2,15
51.076,71.42,7,3,21
51.076,71.42,7,4,10
51.076,71.42,7,5,25
51.076,71.42,7,6,21
51.076,71.42,8,0,19
51.076,71.42,8,1,25
51.076,71.42,8,2,16
51.076,71.42,8,3,19
51.076,71.42,8,4,18
51.076,71.42,8,5,28
51.076,71.42,8,6,20
51.076,71.42,9,0,18
51.076,71.42,9,1,20
51.076,71.42,9,2,14
51.076,71.42,9,3,17
51.076,71.42,9,4,21
51.076,71.42,9,5,13
51.076,71.42,9,6,25
51.076,71.42,10,0,22
51.076,71.42,10,1,20
51.076,71.42,10,2,18
51.076,71.42,10,3,17
51.076,71.42,10,4,15
51.076,71.42,10,5,11
51.076,71.42,10,6,14
51.076,71.42,11,0,25
51.076,71.42,11,1,18
51.076,71.42,11,2,13
51.076,71.42,11,3,16
51.076,71.42,11,4,13
51.076,71.42,11,5,10
